date time	WEATHER.PBWWI.AirPress	WEATHER.PBWWI.AirPressureBar	WEATHER.PBWWI.AirTempPort	WEATHER.PBWWI.AirTempStarboard	WEATHER.PBWWI.HumidityPort	WEATHER.PBWWI.HumidityStarboard	WEATHER.PBWWI.TrueWindDir	WEATHER.PBWWI.RealWindDir	WEATHER.PBWWI.TrueWindSpeed	WEATHER.PBWWI.RelWindSpeed
	spot	spot	spot	spot	spot	spot	spot	spot	spot	spot
	hPa	bar	°C	°C	%	%	°	°	m/s	m/s
2025/07/16 09:40:00	1014.3	1.0	26.9	27.0	78.0	78.0	181.0	333.0	3.3	3.3
2025/07/16 09:40:01	1014.3	1.0	26.9	27.0	78.0	78.0	180.0	332.0	3.1	3.1
2025/07/16 09:40:02	1014.3	1.0	26.9	27.0	78.0	78.0	179.0	331.0	2.9	2.9
2025/07/16 09:40:03	1014.3	1.0	26.9	27.0	78.0	78.0	178.0	330.0	3.0	3.0
2025/07/16 09:40:04	1014.3	1.0	26.9	27.0	78.0	78.0	178.0	333.0	2.8	3.1
2025/07/16 09:40:05	1014.3	1.0	26.9	27.0	78.0	78.0	181.0	337.0	2.8	3.2
2025/07/16 09:40:06	1014.3	1.0	26.9	27.0	78.0	78.0	182.0	339.0	2.6	3.1
2025/07/16 09:40:07	1014.3	1.0	26.9	27.0	78.0	78.0	179.0	337.0	2.5	3.0
2025/07/16 09:40:08	#	#	#	#	#	#	#	#	#	#
2025/07/16 09:40:09	1014.4	1.0	26.9	27.0	78.0	78.0	179.0	337.0	2.4	2.9
2025/07/16 09:40:10	1014.4	1.0	26.9	27.0	78.0	78.0	190.0	341.0	3.0	3.0
2025/07/16 09:40:11	1014.4	1.0	26.9	27.0	78.0	78.0	195.0	346.0	3.3	3.3
2025/07/16 09:40:12	1014.4	1.0	26.9	27.0	78.0	78.0	196.0	347.0	3.4	3.4
2025/07/16 09:40:13	1014.4	1.0	26.9	27.0	78.0	78.0	182.0	334.0	2.8	2.8
2025/07/16 09:40:14	1014.4	1.0	26.9	27.0	78.0	78.0	176.0	330.0	2.9	3.1
2025/07/16 09:40:15	1014.4	1.0	26.9	27.0	78.0	78.0	176.0	331.0	3.3	3.6
2025/07/16 09:40:16	1014.4	1.0	26.9	27.0	78.0	78.0	178.0	333.0	3.5	3.9
2025/07/16 09:40:17	1014.3	1.0	26.9	27.0	78.0	78.0	182.0	337.0	3.5	3.9
2025/07/16 09:40:18	1014.3	1.0	26.9	27.0	78.0	78.0	186.0	341.0	3.0	3.4
2025/07/16 09:40:19	1014.3	1.0	26.9	27.0	78.0	78.0	189.0	343.0	2.9	3.1
2025/07/16 09:40:20	1014.3	1.0	26.9	27.0	78.0	78.0	190.0	343.0	2.7	2.9
2025/07/16 09:40:21	1014.3	1.0	26.9	27.0	78.0	78.0	188.0	342.0	2.8	3.1
2025/07/16 09:40:22	1014.3	1.0	26.9	27.0	78.0	78.0	184.0	339.0	2.9	3.3
2025/07/16 09:40:23	1014.3	1.0	26.9	27.0	78.0	78.0	186.0	340.0	2.9	3.2
2025/07/16 09:40:24	1014.3	1.0	26.9	27.0	78.0	78.0	189.0	341.0	3.1	3.3
2025/07/16 09:40:25	1014.3	1.0	26.9	27.0	78.0	78.0	188.0	341.0	2.9	3.2
