Date; Target(°C); Sensor(°C)
Jul 11 2025 12:00:16 PM; 27,605; 27,72
Jul 11 2025 12:00:17 PM; 27,461; 27,722
Jul 11 2025 12:00:18 PM; 27,096; 27,722
Jul 11 2025 12:00:19 PM; 27,478; 27,723
Jul 11 2025 12:00:20 PM; 27,892; 27,724
Jul 11 2025 12:00:21 PM; 28,872; 27,725
Jul 11 2025 12:00:22 PM; 27,939; 27,726
Jul 11 2025 12:00:23 PM; 28,122; 27,727
Jul 11 2025 12:00:24 PM; 28,719; 27,728
Jul 11 2025 12:00:25 PM; 28,054; 27,729
Jul 11 2025 12:00:26 PM; 27,818; 27,73
Jul 11 2025 12:00:27 PM; 27,82; 27,731
Jul 11 2025 12:00:28 PM; 28,443; 27,732
Jul 11 2025 12:00:29 PM; 28,483; 27,732
Jul 11 2025 12:00:30 PM; 27,704; 27,733
Jul 11 2025 12:00:31 PM; 27,589; 27,734
Jul 11 2025 12:00:32 PM; 27,517; 27,735
Jul 11 2025 12:00:33 PM; 27,709; 27,735
Jul 11 2025 12:00:34 PM; 28,529; 27,736
Jul 11 2025 12:00:35 PM; 27,513; 27,737
Jul 11 2025 12:00:36 PM; 26,453; 27,737
Jul 11 2025 12:00:37 PM; 27,051; 27,738
Jul 11 2025 12:00:38 PM; 28,172; 27,739
Jul 11 2025 12:00:39 PM; 24,878; 27,74
Jul 11 2025 12:00:40 PM; 24,657; 27,74
Jul 11 2025 12:00:41 PM; 24,658; 27,741
Jul 11 2025 12:00:42 PM; 25,512; 27,742
Jul 11 2025 12:00:43 PM; 25,43; 27,743
Jul 11 2025 12:00:44 PM; 25,731; 27,744
Jul 11 2025 12:00:45 PM; 25,784; 27,745
Jul 11 2025 12:00:46 PM; 26,175; 27,746
Jul 11 2025 12:00:47 PM; 25,277; 27,746
Jul 11 2025 12:00:48 PM; 25,446; 27,747
Jul 11 2025 12:00:49 PM; 25,338; 27,748
Jul 11 2025 12:00:50 PM; 25,659; 27,749
Jul 11 2025 12:00:51 PM; 25,685; 27,75
Jul 11 2025 12:00:52 PM; 25,5; 27,751
Jul 11 2025 12:00:53 PM; 25,401; 27,752
Jul 11 2025 12:00:54 PM; 25,483; 27,753
Jul 11 2025 12:00:55 PM; 25,366; 27,754
Jul 11 2025 12:00:56 PM; 25,211; 27,755
Jul 11 2025 12:00:57 PM; 25,209; 27,756
Jul 11 2025 12:00:58 PM; 25,722; 27,757
