Date; Target(°C); Sensor(°C)
Jul 12 2025 7:45:01 PM; 40,136; 26,95
Jul 12 2025 7:45:02 PM; 40,176; 26,95
Jul 12 2025 7:45:03 PM; 40,191; 26,95
Jul 12 2025 7:45:04 PM; 40,244; 26,952
Jul 12 2025 7:45:05 PM; 40,169; 26,951
Jul 12 2025 7:45:06 PM; 40,162; 26,953
Jul 12 2025 7:45:07 PM; 40,144; 26,953
Jul 12 2025 7:45:08 PM; 40,056; 26,953
Jul 12 2025 7:45:09 PM; 40,155; 26,954
Jul 12 2025 7:45:10 PM; 39,993; 26,955
Jul 12 2025 7:45:11 PM; 40,061; 26,954
Jul 12 2025 7:45:12 PM; 40,073; 26,956
Jul 12 2025 7:45:13 PM; 39,993; 26,954
Jul 12 2025 7:45:14 PM; 40,155; 26,954
Jul 12 2025 7:45:15 PM; 40,157; 26,954
Jul 12 2025 7:45:16 PM; 39,893; 26,955
Jul 12 2025 7:45:17 PM; 40,05; 26,955
Jul 12 2025 7:45:18 PM; 40,022; 26,956
Jul 12 2025 7:45:19 PM; 40,083; 26,956
Jul 12 2025 7:45:20 PM; 40,14; 26,954
Jul 12 2025 7:45:21 PM; 40,131; 26,954
Jul 12 2025 7:45:22 PM; 39,991; 26,955
Jul 12 2025 7:45:23 PM; 39,979; 26,955
Jul 12 2025 7:45:24 PM; 40,033; 26,955
Jul 12 2025 7:45:25 PM; 40,108; 26,956
Jul 12 2025 7:45:26 PM; 40,048; 26,955
Jul 12 2025 7:45:27 PM; 40,063; 26,955
Jul 12 2025 7:45:28 PM; 40,004; 26,953
Jul 12 2025 7:45:29 PM; 39,962; 26,956
Jul 12 2025 7:45:30 PM; 39,952; 26,955
Jul 12 2025 7:45:31 PM; 39,996; 26,955
Jul 12 2025 7:45:32 PM; 40,053; 26,955
Jul 12 2025 7:45:33 PM; 40,012; 26,954
Jul 12 2025 7:45:34 PM; 39,964; 26,952
Jul 12 2025 7:45:35 PM; 39,906; 26,953
Jul 12 2025 7:45:36 PM; 39,937; 26,952
Jul 12 2025 7:45:37 PM; 40,086; 26,952
Jul 12 2025 7:45:38 PM; 40,015; 26,952
Jul 12 2025 7:45:39 PM; 40,009; 26,95
Jul 12 2025 7:45:40 PM; 40,057; 26,952
Jul 12 2025 7:45:41 PM; 40,063; 26,951
Jul 12 2025 7:45:42 PM; 40,119; 26,95
Jul 12 2025 7:45:43 PM; 39,946; 26,949
Jul 12 2025 7:45:44 PM; 40,048; 26,951
Jul 12 2025 7:45:45 PM; 40,198; 26,951
Jul 12 2025 7:45:46 PM; 40,058; 26,948
Jul 12 2025 7:45:47 PM; 40,146; 26,95
Jul 12 2025 7:45:48 PM; 39,987; 26,949
Jul 12 2025 7:45:49 PM; 40,13; 26,948
Jul 12 2025 7:45:50 PM; 40,049; 26,949
Jul 12 2025 7:45:51 PM; 40,047; 26,949
Jul 12 2025 7:45:52 PM; 39,965; 26,949
Jul 12 2025 7:45:53 PM; 40,083; 26,948
Jul 12 2025 7:45:54 PM; 40,006; 26,948
Jul 12 2025 7:45:55 PM; 40,091; 26,949
Jul 12 2025 7:45:56 PM; 40,087; 26,948
Jul 12 2025 7:45:57 PM; 39,983; 26,947
Jul 12 2025 7:45:58 PM; 40,102; 26,948
Jul 12 2025 7:45:59 PM; 40,092; 26,947
Jul 12 2025 7:46:00 PM; 40,051; 26,948
Jul 12 2025 7:46:01 PM; 40,054; 26,946
Jul 12 2025 7:46:02 PM; 40,122; 26,948
Jul 12 2025 7:46:03 PM; 40,117; 26,948
Jul 12 2025 7:46:04 PM; 40,076; 26,946
Jul 12 2025 7:46:05 PM; 40,204; 26,947
Jul 12 2025 7:46:06 PM; 40,146; 26,947
Jul 12 2025 7:46:07 PM; 40,178; 26,948
Jul 12 2025 7:46:08 PM; 40,121; 26,947
Jul 12 2025 7:46:09 PM; 40,146; 26,948
Jul 12 2025 7:46:10 PM; 40,114; 26,947
Jul 12 2025 7:46:11 PM; 40,091; 26,949
Jul 12 2025 7:46:12 PM; 40,106; 26,947
Jul 12 2025 7:46:13 PM; 39,999; 26,948
Jul 12 2025 7:46:14 PM; 39,999; 26,948
Jul 12 2025 7:46:15 PM; 40,055; 26,95
Jul 12 2025 7:46:16 PM; 40,091; 26,949
Jul 12 2025 7:46:17 PM; 40,122; 26,948
Jul 12 2025 7:46:18 PM; 40,142; 26,948
Jul 12 2025 7:46:19 PM; 40,022; 26,949
Jul 12 2025 7:46:20 PM; 40,049; 26,949
Jul 12 2025 7:46:21 PM; 40,06; 26,95
Jul 12 2025 7:46:22 PM; 40,045; 26,95
Jul 12 2025 7:46:23 PM; 40,148; 26,949
Jul 12 2025 7:46:24 PM; 40,042; 26,949
Jul 12 2025 7:46:25 PM; 40,089; 26,949
Jul 12 2025 7:46:26 PM; 40,087; 26,95
Jul 12 2025 7:46:27 PM; 40,107; 26,95
Jul 12 2025 7:46:28 PM; 40,084; 26,95
Jul 12 2025 7:46:29 PM; 40,1; 26,95
Jul 12 2025 7:46:30 PM; 39,995; 26,948
Jul 12 2025 7:46:31 PM; 40,018; 26,95
Jul 12 2025 7:46:32 PM; 40,011; 26,95
Jul 12 2025 7:46:33 PM; 40,078; 26,95
Jul 12 2025 7:46:34 PM; 39,984; 26,95
Jul 12 2025 7:46:35 PM; 40,142; 26,951
Jul 12 2025 7:46:36 PM; 40,087; 26,95
Jul 12 2025 7:46:37 PM; 40,097; 26,95
Jul 12 2025 7:46:38 PM; 40,044; 26,951
Jul 12 2025 7:46:39 PM; 40,209; 26,951
Jul 12 2025 7:46:40 PM; 40,134; 26,95
Jul 12 2025 7:46:41 PM; 40,13; 26,951
Jul 12 2025 7:46:42 PM; 40,135; 26,951
Jul 12 2025 7:46:43 PM; 40,204; 26,952
Jul 12 2025 7:46:44 PM; 40,222; 26,952
Jul 12 2025 7:46:45 PM; 40,229; 26,954
Jul 12 2025 7:46:46 PM; 40,126; 26,952
Jul 12 2025 7:46:47 PM; 40,195; 26,955
Jul 12 2025 7:46:48 PM; 40,276; 26,955
Jul 12 2025 7:46:49 PM; 40,133; 26,955
Jul 12 2025 7:46:50 PM; 40,251; 26,956
Jul 12 2025 7:46:51 PM; 40,084; 26,957
Jul 12 2025 7:46:52 PM; 40,205; 26,958
Jul 12 2025 7:46:53 PM; 40,308; 26,958
Jul 12 2025 7:46:54 PM; 40,166; 26,96
Jul 12 2025 7:46:55 PM; 40,185; 26,96
Jul 12 2025 7:46:56 PM; 40,168; 26,96
Jul 12 2025 7:46:57 PM; 40,06; 26,962
Jul 12 2025 7:46:58 PM; 40,027; 26,962
Jul 12 2025 7:46:59 PM; 40,064; 26,962
Jul 12 2025 7:47:00 PM; 40,132; 26,964
Jul 12 2025 7:47:01 PM; 40,228; 26,964
Jul 12 2025 7:47:02 PM; 40,289; 26,963
Jul 12 2025 7:47:03 PM; 40,114; 26,963
Jul 12 2025 7:47:04 PM; 40,042; 26,964
Jul 12 2025 7:47:05 PM; 40,344; 26,964
Jul 12 2025 7:47:06 PM; 40,349; 26,966
Jul 12 2025 7:47:07 PM; 40,151; 26,965
Jul 12 2025 7:47:08 PM; 40,263; 26,966
Jul 12 2025 7:47:09 PM; 40,349; 26,966
Jul 12 2025 7:47:10 PM; 40,005; 26,967
Jul 12 2025 7:47:11 PM; 40,353; 26,969
Jul 12 2025 7:47:12 PM; 40,159; 26,968
Jul 12 2025 7:47:13 PM; 40,294; 26,968
Jul 12 2025 7:47:14 PM; 40,152; 26,969
Jul 12 2025 7:47:15 PM; 40,047; 26,969
Jul 12 2025 7:47:16 PM; 40,042; 26,97
Jul 12 2025 7:47:17 PM; 40,133; 26,97
Jul 12 2025 7:47:18 PM; 40,212; 26,97
Jul 12 2025 7:47:19 PM; 40,101; 26,969
Jul 12 2025 7:47:20 PM; 40,108; 26,969
Jul 12 2025 7:47:21 PM; 40,036; 26,969
Jul 12 2025 7:47:22 PM; 40,014; 26,968
Jul 12 2025 7:47:23 PM; 40,071; 26,968
Jul 12 2025 7:47:24 PM; 40,226; 26,969
Jul 12 2025 7:47:25 PM; 40,089; 26,967
Jul 12 2025 7:47:26 PM; 39,751; 26,963
Jul 12 2025 7:47:27 PM; 39,302; 27,076
Jul 12 2025 7:47:28 PM; 39,715; 26,965
Jul 12 2025 7:47:29 PM; 39,808; 26,966
Jul 12 2025 7:47:30 PM; 39,947; 26,966
Jul 12 2025 7:47:31 PM; 39,324; 26,959
Jul 12 2025 7:47:32 PM; 40,03; 26,965
Jul 12 2025 7:47:33 PM; 39,909; 26,964
Jul 12 2025 7:47:34 PM; 39,958; 26,964
Jul 12 2025 7:47:35 PM; 39,895; 26,962
Jul 12 2025 7:47:36 PM; 40,05; 26,962
Jul 12 2025 7:47:37 PM; 40,088; 26,962
Jul 12 2025 7:47:38 PM; 39,967; 26,961
Jul 12 2025 7:47:39 PM; 40,106; 26,962
Jul 12 2025 7:47:40 PM; 40,112; 26,961
Jul 12 2025 7:47:41 PM; 40,171; 26,961
Jul 12 2025 7:47:42 PM; 40,129; 26,96
Jul 12 2025 7:47:43 PM; 40,318; 26,96
Jul 12 2025 7:47:44 PM; 40,077; 26,96
Jul 12 2025 7:47:45 PM; 40,217; 26,96
Jul 12 2025 7:47:46 PM; 40,288; 26,96
Jul 12 2025 7:47:47 PM; 40,22; 26,96
Jul 12 2025 7:47:48 PM; 40,049; 26,959
Jul 12 2025 7:47:49 PM; 40,293; 26,959
Jul 12 2025 7:47:50 PM; 40,294; 26,96
Jul 12 2025 7:47:51 PM; 40,311; 26,96
Jul 12 2025 7:47:52 PM; 40,408; 26,96
Jul 12 2025 7:47:53 PM; 39,941; 26,959
Jul 12 2025 7:47:54 PM; 40,316; 26,96
Jul 12 2025 7:47:55 PM; 39,484; 26,984
Jul 12 2025 7:47:56 PM; 39,801; 26,96
Jul 12 2025 7:47:57 PM; 39,957; 26,96
Jul 12 2025 7:47:58 PM; 40,128; 26,96
Jul 12 2025 7:47:59 PM; 40,148; 26,962
Jul 12 2025 7:48:00 PM; 40,363; 26,961
Jul 12 2025 7:48:01 PM; 39,706; 26,958
Jul 12 2025 7:48:02 PM; 40,049; 26,961
Jul 12 2025 7:48:03 PM; 40,054; 26,961
Jul 12 2025 7:48:04 PM; 39,983; 26,962
Jul 12 2025 7:48:05 PM; 40,042; 26,962
Jul 12 2025 7:48:06 PM; 40,128; 26,962
Jul 12 2025 7:48:07 PM; 40,086; 26,961
Jul 12 2025 7:48:08 PM; 40,104; 26,962
Jul 12 2025 7:48:09 PM; 40,03; 26,962
Jul 12 2025 7:48:10 PM; 40,117; 26,963
Jul 12 2025 7:48:11 PM; 40,022; 26,961
Jul 12 2025 7:48:12 PM; 40,027; 26,962
Jul 12 2025 7:48:13 PM; 40,012; 26,963
Jul 12 2025 7:48:14 PM; 39,988; 26,962
Jul 12 2025 7:48:15 PM; 40,019; 26,961
Jul 12 2025 7:48:16 PM; 40,075; 26,96
Jul 12 2025 7:48:17 PM; 39,641; 26,96
Jul 12 2025 7:48:18 PM; 40,13; 26,961
Jul 12 2025 7:48:19 PM; 39,623; 26,957
Jul 12 2025 7:48:20 PM; 39,639; 26,957
Jul 12 2025 7:48:21 PM; 39,774; 26,96
Jul 12 2025 7:48:22 PM; 39,94; 26,958
Jul 12 2025 7:48:23 PM; 39,863; 26,958
Jul 12 2025 7:48:24 PM; 39,807; 26,958
Jul 12 2025 7:48:25 PM; 40,021; 26,958
Jul 12 2025 7:48:26 PM; 40,006; 26,958
Jul 12 2025 7:48:27 PM; 40,021; 26,958
Jul 12 2025 7:48:28 PM; 40,053; 26,958
Jul 12 2025 7:48:29 PM; 39,974; 26,958
Jul 12 2025 7:48:30 PM; 40,075; 26,958
Jul 12 2025 7:48:31 PM; 40,059; 26,957
Jul 12 2025 7:48:32 PM; 39,911; 26,956
Jul 12 2025 7:48:33 PM; 40,059; 26,957
Jul 12 2025 7:48:34 PM; 40,139; 26,955
Jul 12 2025 7:48:35 PM; 40,166; 26,958
Jul 12 2025 7:48:36 PM; 40,148; 26,955
Jul 12 2025 7:48:37 PM; 39,95; 26,955
Jul 12 2025 7:48:38 PM; 40,19; 26,955
Jul 12 2025 7:48:39 PM; 40,14; 26,954
Jul 12 2025 7:48:40 PM; 40,18; 26,955
Jul 12 2025 7:48:41 PM; 40,114; 26,953
Jul 12 2025 7:48:42 PM; 40,118; 26,954
Jul 12 2025 7:48:43 PM; 40,126; 26,954
Jul 12 2025 7:48:44 PM; 39,912; 26,952
Jul 12 2025 7:48:45 PM; 39,675; 26,949
Jul 12 2025 7:48:46 PM; 39,937; 26,952
Jul 12 2025 7:48:47 PM; 40,05; 26,952
Jul 12 2025 7:48:48 PM; 40,092; 26,953
Jul 12 2025 7:48:49 PM; 40,108; 26,952
Jul 12 2025 7:48:50 PM; 40,152; 26,95
Jul 12 2025 7:48:51 PM; 40,135; 26,952
Jul 12 2025 7:48:52 PM; 40,071; 26,951
Jul 12 2025 7:48:53 PM; 40,041; 26,95
Jul 12 2025 7:48:54 PM; 40,204; 26,952
Jul 12 2025 7:48:55 PM; 39,019; 26,939
Jul 12 2025 7:48:56 PM; 39,888; 26,95
Jul 12 2025 7:48:57 PM; 40,203; 26,951
Jul 12 2025 7:48:58 PM; 40,235; 26,951
Jul 12 2025 7:48:59 PM; 40,215; 26,95
Jul 12 2025 7:49:00 PM; 40,233; 26,949
Jul 12 2025 7:49:01 PM; 40,067; 26,949
Jul 12 2025 7:49:02 PM; 39,156; 26,943
Jul 12 2025 7:49:03 PM; 39,912; 26,95
Jul 12 2025 7:49:04 PM; 39,189; 26,935
Jul 12 2025 7:49:05 PM; 39,857; 26,948
Jul 12 2025 7:49:06 PM; 39,945; 26,948
Jul 12 2025 7:49:07 PM; 39,172; 26,943
Jul 12 2025 7:49:08 PM; 39,797; 26,948
Jul 12 2025 7:49:09 PM; 39,816; 26,947
Jul 12 2025 7:49:10 PM; 40,152; 26,948
Jul 12 2025 7:49:11 PM; 39,882; 26,946
Jul 12 2025 7:49:12 PM; 39,936; 26,947
Jul 12 2025 7:49:13 PM; 40,091; 26,949
Jul 12 2025 7:49:14 PM; 40,082; 26,95
Jul 12 2025 7:49:15 PM; 39,882; 26,946
Jul 12 2025 7:49:16 PM; 40,06; 26,95
Jul 12 2025 7:49:17 PM; 40,041; 26,948
Jul 12 2025 7:49:18 PM; 40,038; 26,95
Jul 12 2025 7:49:19 PM; 39,979; 26,95
Jul 12 2025 7:49:20 PM; 40,103; 26,951
Jul 12 2025 7:49:21 PM; 39,782; 26,95
Jul 12 2025 7:49:22 PM; 39,892; 26,952
Jul 12 2025 7:49:23 PM; 39,906; 26,951
Jul 12 2025 7:49:24 PM; 39,958; 26,953
Jul 12 2025 7:49:25 PM; 39,896; 26,953
Jul 12 2025 7:49:26 PM; 39,809; 26,955
Jul 12 2025 7:49:27 PM; 39,972; 26,956
Jul 12 2025 7:49:28 PM; 39,178; 26,942
Jul 12 2025 7:49:29 PM; 39,793; 26,957
Jul 12 2025 7:49:30 PM; 40,012; 26,956
Jul 12 2025 7:49:31 PM; 39,88; 26,955
Jul 12 2025 7:49:32 PM; 39,943; 26,956
Jul 12 2025 7:49:33 PM; 39,833; 26,957
Jul 12 2025 7:49:34 PM; 39,856; 26,956
Jul 12 2025 7:49:35 PM; 39,622; 26,955
Jul 12 2025 7:49:36 PM; 39,778; 26,956
Jul 12 2025 7:49:37 PM; 39,909; 26,956
Jul 12 2025 7:49:38 PM; 40,002; 26,956
Jul 12 2025 7:49:39 PM; 39,883; 26,957
Jul 12 2025 7:49:40 PM; 39,27; 26,95
Jul 12 2025 7:49:41 PM; 39,47; 26,954
Jul 12 2025 7:49:42 PM; 39,577; 26,957
Jul 12 2025 7:49:43 PM; 39,742; 26,957
Jul 12 2025 7:49:44 PM; 39,849; 26,956
Jul 12 2025 7:49:45 PM; 39,887; 26,957
Jul 12 2025 7:49:46 PM; 39,82; 26,956
Jul 12 2025 7:49:47 PM; 39,928; 26,956
Jul 12 2025 7:49:48 PM; 39,786; 26,957
Jul 12 2025 7:49:49 PM; 39,661; 26,958
Jul 12 2025 7:49:50 PM; 39,685; 26,957
Jul 12 2025 7:49:51 PM; 39,961; 26,957
Jul 12 2025 7:49:52 PM; 40,041; 26,961
Jul 12 2025 7:49:53 PM; 39,754; 26,957
Jul 12 2025 7:49:54 PM; 39,905; 26,957
Jul 12 2025 7:49:55 PM; 39,773; 26,958
Jul 12 2025 7:49:56 PM; 39,666; 26,957
Jul 12 2025 7:49:57 PM; 39,864; 26,956
Jul 12 2025 7:49:58 PM; 39,685; 26,959
Jul 12 2025 7:49:59 PM; 39,75; 26,956
Jul 12 2025 7:50:00 PM; 39,82; 26,959
Jul 12 2025 7:50:01 PM; 39,769; 26,955
Jul 12 2025 7:50:02 PM; 39,788; 26,954
Jul 12 2025 7:50:03 PM; 39,737; 26,955
Jul 12 2025 7:50:04 PM; 39,864; 26,956
Jul 12 2025 7:50:05 PM; 39,812; 26,955
Jul 12 2025 7:50:06 PM; 39,851; 26,953
Jul 12 2025 7:50:07 PM; 39,904; 26,952
