Date; Target(°C); Sensor(°C),,
Jul 2 2025 7:14:36 AM; 21,269; 24,664
Jul 2 2025 7:14:37 AM; 21,355; 24,664
Jul 2 2025 7:14:38 AM; 21,377; 24,664
Jul 2 2025 7:14:39 AM; 21,485; 24,665
Jul 2 2025 7:14:40 AM; 21,419; 24,665
Jul 2 2025 7:14:41 AM; 21,463; 24,665
Jul 2 2025 7:14:42 AM; 21,432; 24,665
Jul 2 2025 7:14:43 AM; 21,321; 24,665
Jul 2 2025 7:14:44 AM; 21,489; 24,666
Jul 2 2025 7:14:45 AM; 21,35; 24,666
Jul 2 2025 7:14:46 AM; 21,41; 24,666
Jul 2 2025 7:14:47 AM; 21,389; 24,666
Jul 2 2025 7:14:48 AM; 21,221; 24,667
Jul 2 2025 7:14:49 AM; 21,253; 24,667
Jul 2 2025 7:14:50 AM; 21,364; 24,667
Jul 2 2025 7:14:51 AM; 21,415; 24,668
Jul 2 2025 7:14:52 AM; 21,488; 24,668
Jul 2 2025 7:14:53 AM; 21,457; 24,668
Jul 2 2025 7:14:54 AM; 21,52; 24,668
Jul 2 2025 7:14:55 AM; 21,413; 24,668
Jul 2 2025 7:14:56 AM; 21,366; 24,669
Jul 2 2025 7:14:57 AM; 21,429; 24,669
Jul 2 2025 7:14:58 AM; 21,471; 24,669
Jul 2 2025 7:14:59 AM; 21,474; 24,669
Jul 2 2025 7:15:00 AM; 21,474; 24,67
Jul 2 2025 7:15:01 AM; 21,367; 24,67
Jul 2 2025 7:15:02 AM; 21,311; 24,67
Jul 2 2025 7:15:03 AM; 21,4; 24,671
Jul 2 2025 7:15:04 AM; 21,416; 24,671
Jul 2 2025 7:15:05 AM; 21,451; 24,671
Jul 2 2025 7:15:06 AM; 21,552; 24,672
Jul 2 2025 7:15:07 AM; 21,609; 24,672
Jul 2 2025 7:15:08 AM; 21,512; 24,673
Jul 2 2025 7:15:09 AM; 21,528; 24,673
Jul 2 2025 7:15:10 AM; 21,459; 24,673
Jul 2 2025 7:15:11 AM; 21,434; 24,674
Jul 2 2025 7:15:12 AM; 21,387; 24,674
