Date; Target(°C); Sensor(°C)
Jul 8 2025 7:44:05 AM; 27,758; 25,43
Jul 8 2025 7:44:05 AM; 27,758; 25,43
Jul 8 2025 7:44:06 AM; 27,247; 25,43
Jul 8 2025 7:44:06 AM; 27,247; 25,43
Jul 8 2025 7:44:07 AM; 27,513; 25,43
Jul 8 2025 7:44:07 AM; 27,513; 25,43
Jul 8 2025 7:44:08 AM; 28,328; 25,43
Jul 8 2025 7:44:08 AM; 28,328; 25,43
Jul 8 2025 7:44:09 AM; 27,823; 25,43
Jul 8 2025 7:44:09 AM; 27,823; 25,43
Jul 8 2025 7:44:10 AM; 27,599; 25,43
Jul 8 2025 7:44:10 AM; 27,599; 25,43
Jul 8 2025 7:44:11 AM; 28,304; 25,43
Jul 8 2025 7:44:11 AM; 28,304; 25,43
Jul 8 2025 7:44:12 AM; 27,862; 25,43
Jul 8 2025 7:44:12 AM; 27,862; 25,43
Jul 8 2025 7:44:13 AM; 27,605; 25,43
Jul 8 2025 7:44:13 AM; 27,605; 25,43
Jul 8 2025 7:44:14 AM; 27,888; 25,43
Jul 8 2025 7:44:14 AM; 27,888; 25,43
Jul 8 2025 7:44:15 AM; 27,339; 25,43
Jul 8 2025 7:44:15 AM; 27,339; 25,43
Jul 8 2025 7:44:16 AM; 27,447; 25,43
Jul 8 2025 7:44:16 AM; 27,447; 25,43
Jul 8 2025 7:44:17 AM; 28,227; 25,43
Jul 8 2025 7:44:17 AM; 28,227; 25,43
Jul 8 2025 7:44:18 AM; 27,148; 25,43
Jul 8 2025 7:44:18 AM; 27,148; 25,43
Jul 8 2025 7:44:19 AM; 27,292; 25,43
Jul 8 2025 7:44:19 AM; 27,292; 25,43
Jul 8 2025 7:44:20 AM; 27,989; 25,43
Jul 8 2025 7:44:20 AM; 27,989; 25,43
Jul 8 2025 7:44:21 AM; 27,288; 25,43
Jul 8 2025 7:44:21 AM; 27,288; 25,43
Jul 8 2025 7:44:22 AM; 27,545; 25,43
Jul 8 2025 7:44:22 AM; 27,545; 25,43
Jul 8 2025 7:44:23 AM; 27,87; 25,43
Jul 8 2025 7:44:23 AM; 27,87; 25,43
Jul 8 2025 7:44:24 AM; 27,503; 25,43
Jul 8 2025 7:44:24 AM; 27,503; 25,43
Jul 8 2025 7:44:25 AM; 28,105; 25,43
Jul 8 2025 7:44:25 AM; 28,105; 25,43
Jul 8 2025 7:44:26 AM; 26,865; 25,43
Jul 8 2025 7:44:26 AM; 26,865; 25,43
Jul 8 2025 7:44:27 AM; 26,383; 25,43
Jul 8 2025 7:44:27 AM; 26,383; 25,43
Jul 8 2025 7:44:28 AM; 25,755; 25,43
Jul 8 2025 7:44:28 AM; 25,755; 25,43
Jul 8 2025 7:44:29 AM; 21,632; 25,43
Jul 8 2025 7:44:29 AM; 21,632; 25,43
Jul 8 2025 7:44:30 AM; 26,985; 25,43
Jul 8 2025 7:44:30 AM; 26,985; 25,43
Jul 8 2025 7:44:31 AM; 26,271; 25,43
Jul 8 2025 7:44:31 AM; 26,271; 25,43
Jul 8 2025 7:44:32 AM; 24,479; 25,43
Jul 8 2025 7:44:32 AM; 24,479; 25,43
Jul 8 2025 7:44:33 AM; 26,382; 25,429
Jul 8 2025 7:44:33 AM; 26,382; 25,429
Jul 8 2025 7:44:34 AM; 24,685; 25,43
Jul 8 2025 7:44:34 AM; 24,685; 25,43
Jul 8 2025 7:44:35 AM; 15,647; 25,43
Jul 8 2025 7:44:35 AM; 15,647; 25,43
Jul 8 2025 7:44:36 AM; 18,785; 25,429
Jul 8 2025 7:44:36 AM; 18,785; 25,429
Jul 8 2025 7:44:37 AM; 19,914; 25,429
Jul 8 2025 7:44:37 AM; 19,914; 25,429
Jul 8 2025 7:44:38 AM; 20,413; 25,429
Jul 8 2025 7:44:38 AM; 20,413; 25,429
Jul 8 2025 7:44:39 AM; 22,042; 25,429
Jul 8 2025 7:44:39 AM; 22,042; 25,429
Jul 8 2025 7:44:40 AM; 22,659; 25,429
Jul 8 2025 7:44:40 AM; 22,659; 25,429
Jul 8 2025 7:44:41 AM; 22,735; 25,429
Jul 8 2025 7:44:41 AM; 22,735; 25,429
Jul 8 2025 7:44:42 AM; 22,42; 25,429
Jul 8 2025 7:44:42 AM; 22,42; 25,429
Jul 8 2025 7:44:43 AM; 23,06; 25,429
Jul 8 2025 7:44:43 AM; 23,06; 25,429
Jul 8 2025 7:44:44 AM; 22,985; 25,429
Jul 8 2025 7:44:44 AM; 22,985; 25,429
Jul 8 2025 7:44:45 AM; 22,747; 25,429
