Event;Event;End
Deployment/Recover time ;16.07.2025 08:54:00;16.07.2025 18:00:00
Bridge up/down;16.07.2025 08:35:00;16.07.2025 18:00:00
Salinity_sampling;16.07.2025 09:04:00;16.07.2025 09:05:00
Canister_sampling ;16.07.2025 09:17:00;16.07.2025 09:20:00
Salinity_sampling ;16.07.2025 10:14:00;16.07.2025 10:16:00
Boat_at_Halobates;16.07.2025 10:33:00;16.07.2025 10:35:00
Halo_in_sargasm;16.07.2025 10:41:00;16.07.2025 10:42:00
Boat_at_Halobates;16.07.2025 11:40:00;16.07.2025 11:49:00
Halo_in_sargasm;16.07.2025 11:55:00;16.07.2025 11:56:00
Boat_at_Halobates;16.07.2025 12:11:00;16.07.2025 12:12:00
Boat_at_Halobates;16.07.2025 12:39:00;16.07.2025 12:40:00
Canister_sampling ;16.07.2025 14:20:00;16.07.2025 14:26:00
Syringe_sampling;16.07.2025 14:33:00;16.07.2025 14:34:00
Canister_sampling ;16.07.2025 15:04:00;16.07.2025 15:05:00
Boat_at_Halobates;16.07.2025 17:47:00;16.07.2025 17:48:00
